iter,version,params,episodes,mean_rewards,total_run_time,epsilon
562,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v0'}",1000,51.16,0.6350569725036621,0.0
563,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v1'}",1000,48.13,0.6198406219482422,0.0
564,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v0'}",1000,47.6,0.6020135879516602,0.0
565,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v1'}",1000,60.11,0.7184300422668457,0.0
566,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v0'}",1000,101.46,0.8051784038543701,0.0
567,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v1'}",1000,86.96,0.8444125652313232,0.0
568,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v0'}",100,30.05,0.15285563468933105,0.0
569,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v1'}",100,20.44,0.13025164604187012,0.0
570,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v0'}",100,17.66,0.1358799934387207,0.0
571,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v1'}",100,19.62,0.13675975799560547,0.0
572,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v0'}",100,26.84,0.1415693759918213,0.0
573,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v1'}",100,26.09,0.14106154441833496,0.0
574,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v0'}",100,25.18,0.13799452781677246,0.0
575,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v1'}",100,32.46,0.15265536308288574,0.0
576,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,58.37,54.043073415756226,1.916246048422115e-12
577,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,67.21,54.793570041656494,1.916246048422115e-12
578,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",68007,195.8,64.94219160079956,0.31994000000209544
579,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",100000,182.84,135.76818466186523,1.916246048422115e-12
580,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",61602,195.22,57.22722005844116,0.3839900000021595
581,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",83837,513.92,137.9376277923584,0.16164000000193712
582,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",60858,195.03,54.94567370414734,0.39143000000216693
583,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",80231,480.59,125.99144220352173,0.1977000000019732
584,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,25.03,3.8457233905792236,9.381755897326649e-14
585,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,85.05,6.313047409057617,9.381755897326649e-14
586,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,160.54,9.6867356300354,9.381755897326649e-14
587,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,59.25,5.787480592727661,9.381755897326649e-14
588,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",10000,180.32,12.177213668823242,9.381755897326649e-14
589,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",10000,168.21,12.034958124160767,9.381755897326649e-14
590,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",7640,195.92,7.728372812271118,0.23610000000008413
591,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",10000,207.67,12.161065816879272,9.381755897326649e-14
592,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,27.47,0.5531144142150879,0.0
593,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,36.72,0.5860371589660645,0.0
594,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v0'}",1000,15.51,0.5084781646728516,0.0
595,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v1'}",1000,19.47,0.49286317825317383,0.0
596,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v0'}",1000,31.26,0.5560312271118164,0.0
597,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v1'}",1000,35.32,0.5707345008850098,0.0
598,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v0'}",1000,94.48,0.9391603469848633,0.0
599,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v1'}",1000,93.43,1.0463685989379883,0.0
600,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v0'}",100,26.63,0.1883234977722168,0.0
601,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v1'}",100,23.83,0.167327880859375,0.0
602,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v0'}",100,17.49,0.13392138481140137,0.0
603,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v1'}",100,23.0,0.14978814125061035,0.0
604,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v0'}",100,24.72,0.149674654006958,0.0
605,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v1'}",100,16.35,0.13541483879089355,0.0
606,v0,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v0'}",100,25.79,0.15357160568237305,0.0
607,v1,"{'discount_factor_g': 0.99, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v1'}",100,16.02,0.14397978782653809,0.0
608,v0,"{'discount_factor_g': 0.99, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,96.21,62.38128328323364,1.916246048422115e-12
609,v1,"{'discount_factor_g': 0.99, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,48.9,48.55224251747131,1.916246048422115e-12
610,v0,"{'discount_factor_g': 0.99, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",63559,199.37,59.72974967956543,0.3644200000021399
611,v1,"{'discount_factor_g': 0.99, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",86801,476.26,125.4303150177002,0.13200000000190748
612,v0,"{'discount_factor_g': 0.99, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",66099,195.47,67.33122825622559,0.3390200000021145
613,v1,"{'discount_factor_g': 0.99, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",100000,385.45,193.69931626319885,1.916246048422115e-12
